id,text_original
S19,Im Wald sagt die Stiefmutter zu Hänsel und Gretel: Ihr wartet hier. Wir gehen Holz sammeln. Wir holen euch später ab.
S20,Aber der Vater und die Stiefmutter gehen ohne Hänsel und Gretel nach Hause.
S21,Jetzt sind Hänsel und Gretel allein im Wald. Hänsel und Gretel sind sehr müde. Und Hänsel und Gretel schlafen ein.
S22,Es ist dunkle Nacht. Hänsel und Gretel wachen auf. Hänsel und Gretel wollen nach Hause.
S23,Zum Glück scheint der Mond hell. So können Hänsel und Gretel die kleinen weißen Steine auf dem Weg sehen.
S24,Und Hänsel und Gretel finden den Weg nach Hause. Hänsel und Gretel kommen zu Hause an. Hänsel und Gretel umarmen den Vater.
S25,Der Vater freut sich sehr. Der Vater hat seine 2 Kinder nämlich vermisst. Aber die Stiefmutter ärgert sich.
S26,Wenige Tage später: Die Familie hat wieder nichts zu essen. Die Stiefmutter will Hänsel und Gretel wieder in den Wald schicken.
S27,Dieses Mal hat Hänsel keine kleinen weißen Steine. Die Stiefmutter hat nämlich abends die Tür zum Hof abgeschlossen.
S28,Deshalb kann Hänsel keine kleinen weißen Steine vom Hof holen.
S29,Aber Hänsel hat Brotkrümel. Die Familie geht in den Wald. Und Hänsel lässt die Brotkrümel auf den Weg fallen.
S30,Im Wald sagt die Stiefmutter zu Hänsel und Gretel: Ihr wartet hier. Wir gehen Holz sammeln. Wir holen euch später ab.
S31,Aber der Vater und die Stiefmutter gehen ohne Hänsel und Gretel nach Hause.
S32,Jetzt sind Hänsel und Gretel allein im Wald. Hänsel und Gretel sind sehr müde. Und Hänsel und Gretel schlafen ein.
S33,Es ist dunkle Nacht. Hänsel und Gretel wachen auf. Hänsel und Gretel wollen nach Hause.
S34,Zum Glück scheint der Mond hell. So können Hänsel und Gretel vielleicht die Brotkrümel auf dem Weg sehen.
S35,Aber Hänsel und Gretel sehen die Brotkrümel auf dem Weg nicht. Die Brotkrümel sind weg. Vögel haben die Brotkrümel gegessen.
S36,Hänsel und Gretel laufen durch den Wald: Hänsel und Gretel suchen den Weg nach Hause.
S37,Aber Hänsel und Gretel finden den Weg nach Hause nicht. So laufen Hänsel und Gretel 3 Tage lang durch den Wald.
S38,Hänsel und Gretel sind hungrig. Und Hänsel und Gretel frieren.
S39,Nach einer Weile sehen Hänsel und Gretel einen kleinen Vogel auf einem Ast. Der kleine Vogel singt wunderschön.
S40,Dann fliegt der kleine Vogel weiter. Hänsel und Gretel laufen dem kleinen Vogel nach.
S41,Dann kommen Hänsel und Gretel zu einem Häuschen. Ein Häuschen ist ein kleines Haus.
S42,Das Häuschen ist mitten im Wald. Das Häuschen ist aus Brot. Und Zucker. Und das Dach von dem Häuschen ist mit Leb·kuchen bedeckt.
S43,Hänsel sagt zu Gretel: Das Häuschen sieht lecker aus. Und ich bin sehr hungrig.
S44,Lass uns ein Stück vom Häuschen essen. Ich esse ein Stück vom Dach.
S45,Hänsel und Gretel essen ein Stück vom Häuschen. Plötzlich hören Hänsel und Gretel eine Stimme. Die Stimme kommt aus dem Häuschen:
S46,Knusper knusper Knäuschen. Wer knuspert an meinem Häuschen?
S47,Hänsel und Gretel antworten: Der Wind. Der Wind. Das himmlische Kind. Dann essen Hänsel und Gretel weiter.
S48,Die Tür vom Häuschen geht auf. Und eine alte Frau kommt aus dem Häuschen. Hänsel und Gretel erschrecken sich.
S49,Aber die alte Frau sagt: Liebe Kinder! Kommt herein. Habt keine Angst.
S50,Hänsel und Gretel gehen mit der alten Frau ins Häuschen.
S51,Die alte Frau ist sehr nett zu Hänsel und Gretel.
S52,Die alte Frau gibt Hänsel und Gretel zu essen: Milch. Und Pfannkuchen. Äpfel. Und Nüsse.
S53,Dann gehen Hänsel und Gretel ins Bett. Hänsel und Gretel sind sehr glücklich. Und denken: Die alte Frau ist nett.
S54,Aber das ist falsch: Die alte Frau ist nämlich eine böse Hexe. Und die böse Hexe will Hänsel und Gretel essen.
S55,Es ist der nächste Tag. Jetzt ist die Hexe nicht mehr nett zu Hänsel und Gretel.
S56,Die Hexe ist böse. Die Hexe packt Hänsel. Und die Hexe sperrt Hänsel in einen Käfig.
S57,Der Käfig hat ein Gitter. Deshalb kann Hänsel nicht aus dem Käfig heraus.
S58,Dann sagt die Hexe zu Gretel: Du faules Mädchen! Mach dich an die Arbeit! Koch Essen!
S59,Hänsel soll nämlich fett werden. Dann kann ich Hänsel essen.
S60,Gretel weint viele Tränen. Aber Gretel muss auf die Hexe hören.
S61,Jeden Morgen kommt die Hexe zu Hänsel. Und die Hexe fragt: Bist du schon fett?
S62,Zeig mir deine Finger. Ich will deine Finger fühlen.
S63,Aber Hänsel ist schlau: Hänsel steckt nicht seine Finger durch das Gitter. Hänsel steckt einen dünnen Knochen durch das Gitter.
S64,Die Hexe hat nämlich schlechte Augen. Deshalb sieht die Hexe den Knochen nicht.
S65,Und die Hexe denkt: Hänsel ist immer noch zu dünn.
S66,Die Zeit vergeht: Hänsel und Gretel sind viele Wochen bei der Hexe.
S67,An einem Morgen ruft die Hexe zu Gretel: Morgen will ich Hänsel im Ofen braten.
S68,Gretel denkt: Der liebe Gott soll uns beschützen! Die Hexe darf Hänsel nicht essen.
S69,Die arme Gretel weint viele Tränen. Aber die Hexe sagt zu Gretel: Sei still. Weinen hilft dir nicht.
S70,Am nächsten Morgen sagt die Hexe zu Gretel: Jetzt brate ich Hänsel im Ofen. Ist der Ofen heiß?
S71,Gretel soll in den Ofen steigen. Die Hexe will Gretel nämlich in den Ofen stoßen. Gretel soll im Ofen braten.
S72,Aber Gretel ist schlau. Gretel kennt den Plan von der Hexe.
S73,Und deshalb fragt Gretel die Hexe: Wie komme ich in den Ofen?
S74,Die Hexe ist wütend. Und sagt: Dummes Kind! Geh da weg. Ich zeige es dir.
S75,Und die Hexe macht es Gretel vor: Die Hexe steckt den Kopf in den Ofen.
S76,Und sofort gibt Gretel der Hexe einen Stoß: Die Hexe fällt in den Ofen.
S77,Gretel macht schnell die Tür vom Ofen zu. Und die böse Hexe verbrennt im Ofen.
S78,Dann läuft Gretel schnell zum Käfig. Gretel befreit Hänsel aus dem Käfig.
S79,Und ruft: Wir sind frei! Die böse Hexe ist im Ofen verbrannt!
S80,Hänsel und Gretel umarmen sich.
S81,Dann gehen Hänsel und Gretel in das Häuschen von der Hexe: In allen Ecken stehen große Kisten.
S82,In den Kisten sind Edelsteine. Hänsel steckt sich Edelsteine in seine Hosentaschen. Und auch Gretel nimmt einige Edelsteine.
S83,Dann sagt Hänsel zu Gretel: Lass uns den Weg nach Hause suchen. Und Hänsel und Gretel laufen durch den Wald.
S84,Hänsel und Gretel haben Glück: Hänsel und Gretel finden endlich den Weg aus dem Wald.
S85,Nach einer Weile sehen Hänsel und Gretel das Haus vom Vater. Hänsel und Gretel kommen am Haus vom Vater an.
S86,Hänsel und Gretel gehen in das Haus hinein: Der Vater sieht Hänsel und Gretel.
S87,Und der Vater ist sehr glücklich. Ohne seine Kinder war der Vater sehr traurig.
S88,Die Stiefmutter ist nicht mehr da. Die Stiefmutter ist nämlich gestorben.
S89,Hänsel und Gretel umarmen den Vater.
S90,Dann zeigen Hänsel und Gretel dem Vater die Edelsteine.
S91,Jetzt ist die Familie reich. Und die Familie muss nie wieder Hunger leiden.
S92,Hänsel und Gretel und ihr Vater leben glücklich zusammen. Das war das Märchen von Hänsel und Gretel.
