id,text_original,Sentiments,Multi
S56,Aber die Räuber sind noch in der Nähe vom Haus.,neutral,no
S57,Die Räuber sehen: Das Licht im Haus ist aus. Alles ist ganz still.,neutral,no
S58,Deshalb sagt der Anführer von den Räubern: Wir haben uns geirrt. Vielleicht war es doch kein Gespenst. Lasst uns zurück zum Haus gehen.,neutral,no
S59,Aber die Räuber sind vorsichtig: Es geht nur 1 Räuber in das Haus.,neutral,no
S60,Der Räuber will das Licht anmachen. So kann der Räuber besser sehen.,neutral,no
S61,Der Räuber weiß: In der Küche gibt es Kohle.,neutral,no
S62,Die Kohle glüht. Die Kohle macht ein wenig Licht. Also geht der Räuber in die Küche.,neutral,no
S63,In der Küche sieht der Räuber 2 leuchtende Punkte. Der Räuber denkt: Das ist die Kohle.,neutral,no
S64,Der Räuber will nach der Kohle greifen. Aber der Räuber weiß nicht: In der Küche liegt die Katze.,neutral,no
S65,Die Katze schaut den Räuber an. Die Augen von der Katze leuchten im Dunkeln. Die Augen von der Katze leuchten wie 2 Stücken Kohle.,neutral,no
S66,Die Katze springt den Räuber an. Und die Katze zerkratzt das Gesicht vom Räuber.,negative,no
S67,Jetzt hat der Räuber Angst. Und der Räuber schreit. Der Räuber will schnell aus dem Haus laufen.,negative,no
S68,Der Räuber rennt zur Tür. Aber vor der Tür liegt noch der Hund.,neutral,no
S69,Der Hund beißt den Räuber ins Bein. Der Räuber schreit noch lauter. Der Räuber rennt aus dem Haus.,negative,no
S70,Der Räuber rennt an dem Misthaufen vorbei. Am Misthaufen wartet schon der Esel.,neutral,no
S71,Der Esel tritt den Räuber. Und der Räuber schreit. Und schreit.,negative,no
S72,Und so wird auch der Hahn wach. Der Hahn macht Krach. Und der Räuber läuft davon.,neutral,no
S73,Der Räuber läuft zu den anderen Räubern.,neutral,no
S74,Der Räuber erzählt mit einer ängstlichen Stimme: In dem Haus ist eine Hexe. Die Hexe hat mir das Gesicht zerkratzt.,negative,no
S75,Und vor der Tür steht ein Mann. Der Mann hat ein Messer. Mit dem Messer hat mir der Mann ins Bein gestochen.,negative,no
S76,Und bei dem Misthaufen ist ein Monster. Das Monster hat mich getreten.,negative,no
S77,Und auf dem Dach sitzt ein Polizist. Der Polizist wollte mich fangen. Deshalb bin ich fortgelaufen.,negative,no
S78,Jetzt haben auch die anderen Räuber Angst. Die Räuber laufen fort.,negative,no
S79,Und die Räuber kommen nie mehr zu dem Haus zurück. Der Esel und der Hund und die Katze und der Hahn sind froh.,positive,no
S80,Und die 4 Tiere bleiben in dem Haus. Die 4 Tiere fühlen sich sehr wohl in dem Haus. Deshalb wollen die 4 Tiere auch nicht mehr nach Bremen gehen.,positive,no
S81,Und auch keine Stadtmusikanten werden. Das war das Märchen von den Bremer Stadtmusikanten.,neutral,no
