id;text_original;Sentiments-GPT5;Multi-GPT5;Sentiments-Perplexity;Multi-Perplexity;Sentiments-Mistral;Multi-Mistral;Sentiments-GPTOSS20B;Multi-GPTOSS20B
S15;Zu Hause sagt der Igel zur Igelfrau: Zieh dich an. Du musst mit mir auf das Feld gehen. Ich will mit dem Hasen um die Wette laufen. Der Gewinner bekommt vom Verlierer eine Goldmünze. Und eine Flasche Wein. Komm mit!;neutral;no;positive;no;neutral;no;positive;no
S16;Die Igelfrau antwortet: Bist du dumm? Der Hase ist viel schneller als du. Du kannst nicht gewinnen.;negative;no;negative;no;negative;no;negative;no
S17;Der Igel ist wütend. Und sagt: Sei still! Ich will mit dem Hasen um die Wette laufen. Zieh dich an. Und komm mit!;negative;no;negative;no;negative;no;negative;no
S18;Also zieht die Igelfrau sich an. Und der Igel und die Igelfrau gehen zum Feld.;neutral;no;neutral;no;neutral;no;neutral;no
S19;Auf dem Weg sagt der Igel zur Igelfrau: Siehst du den langen Acker? Auf dem Acker laufen wir um die Wette.;neutral;no;neutral;no;neutral;no;neutral;no
S20;Der Hase läuft in einer Furche. Und ich laufe in der anderen Furche. Wir laufen oben am Acker los.;neutral;no;neutral;no;neutral;no;neutral;no
S21;Du musst nur folgende Dinge tun: Du stellst dich unten in die Furche. Dann wartest du auf den Hasen. Du siehst den Hasen kommen? Dann rufst du: Ich bin schon hier.;neutral;no;neutral;no;neutral;no;neutral;no
S22;Der Igel und die Igelfrau kommen beim Acker an. Der Igel zeigt der Igelfrau ihren Platz. Dann geht der Igel den Acker hinauf. Der Igel geht zu dem Treffpunkt mit dem Hasen. Der Hase wartet schon auf den Igel.;neutral;no;neutral;no;neutral;no;neutral;no
S23;Der Hase fragt den Igel: Kann es losgehen? Der Igel nickt. Hase und Igel machen sich bereit.;neutral;no;neutral;no;neutral;no;neutral;no
S24;Der Hase ruft: Auf die Plätze. Fertig. Los! Der Hase rennt los.;neutral;no;neutral;no;neutral;no;positive;no
S25;Aber der Igel geht nur 3 Schritte. Dann macht der Igel sich klein. Und der Igel bleibt ruhig an seinem Platz sitzen.;neutral;no;neutral;no;neutral;no;negative;no
S26;Der Hase kommt unten am Acker an. Die Igelfrau sieht den Hasen. Und die Igelfrau ruft: Ich bin schon hier!;positive;no;positive;no;positive;no;neutral;no
S27;Der Hase ist überrascht. Und denkt: Das ist nicht möglich. Deshalb ruft der Hase: Wir laufen noch einmal!;neutral;no;neutral;no;negative-positive;yes;neutral;no
S28;Und der Hase rennt wieder los. Der Hase rennt sehr schnell. Und die langen Ohren wehen dem Hasen um den Kopf.;neutral;no;neutral;no;neutral;no;positive;no
S29;Aber die Igelfrau geht nur 3 Schritte. Dann macht die Igelfrau sich klein. Und die Igelfrau bleibt ruhig an ihrem Platz sitzen.;neutral;no;neutral;no;neutral;no;negative;no
S30;Der Hase kommt oben am Acker an. Oben am Acker steht der Igel. Der Igel sieht den Hasen. Und der Igel ruft: Ich bin schon hier!;positive;no;positive;no;positive;no;neutral;no
S31;Der Hase ärgert sich. Und der Hase schreit: Wir laufen noch einmal!;negative;no;negative;no;negative;no;negative;no
S32;Der Igel nickt. Der Hase läuft den Acker hinauf und hinab. Der Hase will nämlich unbedingt gewinnen.;neutral;no;neutral;no;neutral;no;neutral;no
S33;Der Igel bleibt die ganze Zeit oben am Acker. Und die Igelfrau bleibt die ganze Zeit unten am Acker.;neutral;no;neutral;no;neutral;no;neutral;no
S34;Egal an welchem Ende vom Acker der Hase ankommt: Einer von den Igeln ist schon da. Und ruft: Ich bin schon hier!;positive;no;positive;no;positive;no;neutral;no
S35;Der Hase läuft ein weiteres Mal den Acker hinauf. Aber diesmal kommt der Hase nicht ans Ziel: Der Hase fällt mitten auf dem Acker um. Und bleibt liegen. Der Hase kann nicht mehr weiterlaufen.;negative;no;negative;no;negative;no;negative;no
S36;Der Igel freut sich. Der Igel hat nämlich die Wette gewonnen. Also nimmt der Igel die Goldmünze. Und die Flasche Wein.;positive;no;positive;no;positive;no;positive;no
S37;Dann ruft der Igel die Igelfrau zu sich. Und der Igel und die Igelfrau gehen fröhlich nach Hause. Das war das Märchen von Hase und Igel.;positive;no;positive;no;positive;no;positive;no
