id;text_original;Sentiments-GPT5;Multi-GPT5;Sentiments-Perplexity;Multi-Perplexity;Sentiments-Mistral;Multi-Mistral;Sentiments-GPTOSS20B;Multi-GPTOSS20B
S22;Aber zum Glück hat die 12. Fee ihren Wunsch noch nicht gesprochen:;positive;no;positive;no;neutral-positive;yes;positive;no
S23;Die 12. Fee kann den bösen Wunsch nicht rückgängig machen. Aber die 12. Fee kann den bösen Wunsch verwandeln.;neutral;no;neutral;no;neutral-positive;yes;positive;no
S24;So sagt die 12. Fee: Dornröschen wird an ihrem 15. Geburtstag nicht sterben.;positive;no;positive;no;positive;no;positive;no
S25;Aber Dornröschen wird 100 Jahre schlafen. Jetzt hat auch der König Angst.;negative;no;negative;no;neutral-negative;yes;neutral-negative;yes
S26;Und sagt: Alle Spindeln im Königreich werden verbrannt.;neutral;no;neutral;no;neutral;no;negative;no
S27;So kann sich Dornröschen nicht an einer Spindel stechen. Und Dornröschen muss nicht 100 Jahre schlafen.;positive;no;positive;no;positive;no;positive;no
S28;Die Jahre vergehen. Und Dornröschen wird älter.;neutral;no;neutral;no;neutral;no;neutral;no
S29;Alle guten Wünsche von den 12 Feen gehen in Erfüllung:;positive;no;positive;no;positive;no;positive;no
S30;Dornröschen ist sehr schön. Und Dornröschen ist sehr freundlich. Und alle mögen Dornröschen.;positive;no;positive;no;positive;no;positive;no
S31;Es ist der 15. Geburtstag von Dornröschen: Dornröschen ist allein. Und Dornröschen erkundet das Schloss.;neutral;no;neutral;no;neutral;no;neutral;no
S32;Dornröschen kommt zu einem alten Turm. Im Turm ist ein kleines Zimmer. Dornröschen geht in das kleine Zimmer:;neutral;no;neutral;no;neutral;no;neutral;no
S33;Eine alte Frau sitzt an einem Spinnrad. Die alte Frau arbeitet mit einer Spindel.;neutral;no;neutral;no;neutral;no;neutral;no
S34;Dornröschen fragt die alte Frau: Was machst du da?;neutral;no;neutral;no;neutral;no;neutral;no
S35;Die alte Frau antwortet: Ich mache Wolle zu einem Faden.;neutral;no;neutral;no;neutral;no;neutral;no
S36;Dornröschen ist neugierig. Dornröschen hat noch nie eine Spindel gesehen. Dornröschen nimmt die Spindel in die Hand.;neutral;no;neutral;no;neutral;no;neutral;no
S37;Plötzlich geht der böse Wunsch von der 13. Fee in Erfüllung: Dornröschen sticht sich an der Spindel.;negative;no;negative;no;negative;no;negative;no
S38;Und Dornröschen fällt in einen tiefen Schlaf. Aber nicht nur Dorn·röschen schläft ein.;negative;no;negative;no;negative;no;neutral;no
S39;Auch die Menschen im Schloss schlafen ein: Der König und die Königin. Der Koch. Die Diener.;negative;no;negative;no;negative;no;neutral;no
S40;Und sogar die Tiere schlafen ein: Die Pferde im Stall. Die Tauben auf dem Dach. Und die Fliegen an der Wand.;negative;no;neutral;no;negative;no;neutral;no
S41;Jetzt ist es überall still. Die Jahre vergehen.;neutral;no;neutral;no;neutral;no;neutral;no
S42;Und eine Dornenhecke wächst um das Schloss. Die Dornenhecke wird jedes Jahr größer. Bis das ganze Schloss von der Dornenhecke bedeckt ist.;neutral;no;neutral;no;negative;no;neutral;no
S43;Die Menschen im Land erzählen sich die Geschichte von Dornröschen.;neutral;no;neutral;no;neutral;no;neutral;no
S44;Und viele Prinzen wollen in das Schloss. Die Prinzen wollen Dornröschen wecken.;positive;no;positive;no;positive;no;neutral;no
S45;Aber die Dornenhecke bedeckt das ganze Schloss. Und die Dornen sind sehr gefährlich.;negative;no;negative;no;negative;no;negative;no
S46;Viele Prinzen stechen sich an den Dornen. Und viele Prinzen sterben.;negative;no;negative;no;negative;no;negative;no
S47;Dornröschen schläft jetzt schon 100 Jahre. Aber kein Prinz konnte Dornröschen wecken.;negative;no;negative;no;neutral;no;negative;no
S48;Da kommt ein besonderer Prinz in das Land. Der Prinz hört die Geschichte von Dornröschen.;neutral;no;neutral;no;neutral;no;neutral;no
S49;Der Prinz denkt: Viele Prinzen wollten Dornröschen wecken. Und viele Prinzen sind in der Dornenhecke gestorben.;negative;no;neutral;no;neutral;no;negative;no
S50;Aber ich habe keine Angst. Ich werde Dornröschen wecken.;positive;no;positive;no;positive;no;positive;no
S51;Und so reitet der Prinz zum Schloss von Dornröschen. Der Prinz kommt zu dem Schloss von Dornröschen. Und der Prinz sieht die Dornenhecke.;neutral;no;neutral;no;neutral;no;neutral;no
S52;Der Prinz entdeckt einen geheimen Weg. Dieser Weg führt durch die Dornenhecke.;neutral;no;neutral;no;positive;no;neutral;no
S53;Der Prinz geht den Weg entlang. Und der Prinz sticht sich nicht an den Dornen.;positive;no;positive;no;positive;no;neutral;no
S54;So kommt der Prinz bis ins Schloss. Im Schloss ist es ganz still. Alle schlafen nämlich.;neutral;no;neutral;no;neutral;no;neutral;no
S55;Der Prinz geht durch das Schloss. Und der Prinz findet den alten Turm.;neutral;no;neutral;no;neutral;no;neutral;no
S56;Im Turm liegt Dornröschen auf einem Bett. Und schläft.;neutral;no;neutral;no;neutral;no;neutral;no
S57;Der Prinz sieht Dornröschen. Und der Prinz denkt: Dornröschen ist sehr schön.;positive;no;positive;no;positive;no;positive;no
S58;Der Prinz bückt sich zu Dornröschen herunter. Und der Prinz küsst Dornröschen.;positive;no;positive;no;positive;no;positive;no
S59;Plötzlich öffnet Dornröschen die Augen. Und Dornröschen lächelt den Prinzen an.;positive;no;positive;no;positive;no;positive;no
S60;Jetzt erwachen auch die Menschen im Schloss: Der König und die Königin. Der Koch. Die Diener.;positive;no;positive;no;positive;no;positive;no
S61;Und auch die Tiere erwachen: Die Pferde im Stall. Die Tauben auf dem Dach. Und die Fliegen an der Wand.;positive;no;positive;no;positive;no;positive;no
S62;Das Schloss ist wieder voller Leben.;positive;no;positive;no;positive;no;positive;no
S63;Dornröschen und der Prinz heiraten. Und alle Menschen im Land feiern ein großes Fest.;positive;no;positive;no;positive;no;positive;no
S64;Und Dornröschen und der Prinz leben für immer glücklich zusammen. Das war das Märchen von Dornröschen.;positive;no;positive;no;positive;no;positive;no
