Story,id,text_original,Sentiments-GPT5,Multi-GPT5,Sentiments-Perplexity,Multi-Perplexity,Sentiments-Mistral,Multi-Mistral,Sentiments-GPTOSS20B,Multi-GPTOSS20B
1-DHUDI,S27,Der Hase ist überrascht. Und denkt: Das ist nicht möglich. Deshalb ruft der Hase: Wir laufen noch einmal!,neutral,no,neutral,no,negative-positive,yes,neutral,no
1-DHUDI,S28,Und der Hase rennt wieder los. Der Hase rennt sehr schnell. Und die langen Ohren wehen dem Hasen um den Kopf.,neutral,no,neutral,no,neutral,no,positive,no
1-DHUDI,S29,Aber die Igelfrau geht nur 3 Schritte. Dann macht die Igelfrau sich klein. Und die Igelfrau bleibt ruhig an ihrem Platz sitzen.,neutral,no,neutral,no,neutral,no,negative,no
1-DHUDI,S30,Der Hase kommt oben am Acker an. Oben am Acker steht der Igel. Der Igel sieht den Hasen. Und der Igel ruft: Ich bin schon hier!,positive,no,positive,no,positive,no,neutral,no
1-DHUDI,S31,Der Hase ärgert sich. Und der Hase schreit: Wir laufen noch einmal!,negative,no,negative,no,negative,no,negative,no
1-DHUDI,S32,Der Igel nickt. Der Hase läuft den Acker hinauf und hinab. Der Hase will nämlich unbedingt gewinnen.,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S33,Der Igel bleibt die ganze Zeit oben am Acker. Und die Igelfrau bleibt die ganze Zeit unten am Acker.,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S34,Egal an welchem Ende vom Acker der Hase ankommt: Einer von den Igeln ist schon da. Und ruft: Ich bin schon hier!,positive,no,positive,no,positive,no,neutral,no
1-DHUDI,S35,Der Hase läuft ein weiteres Mal den Acker hinauf. Aber diesmal kommt der Hase nicht ans Ziel: Der Hase fällt mitten auf dem Acker um. Und bleibt liegen. Der Hase kann nicht mehr weiterlaufen.,negative,no,negative,no,negative,no,negative,no
1-DHUDI,S36,Der Igel freut sich. Der Igel hat nämlich die Wette gewonnen. Also nimmt der Igel die Goldmünze. Und die Flasche Wein.,positive,no,positive,no,positive,no,positive,no
1-DHUDI,S37,Dann ruft der Igel die Igelfrau zu sich. Und der Igel und die Igelfrau gehen fröhlich nach Hause. Das war das Märchen von Hase und Igel.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S1,Frau Holle. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt: Frau Holle. Das Märchen geht so:,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S2,Eine Frau hat 2 Töchter. Die eine Tochter ist schön. Und fleißig. Aber die andere Tochter ist hässlich. Und faul. Beide Töchter heißen Marie.,neutral,no,neutral,no,neutral,no,positive-negative,yes
2-FrauHolle,S3,Die Frau hat aber die faule Marie viel lieber. Die faule Marie ist nämlich ihr eigenes Kind. Die fleißige Marie hat eine andere Mutter. Die Mutter von der fleißigen Marie ist aber schon gestorben. Die Frau ist also nur die Stiefmutter von der fleißigen Marie.,negative,no,negative,no,negative,no,neutral,no
2-FrauHolle,S4,Die Frau hat die faule Marie viel lieber. Deshalb muss die fleißige Marie die ganze Arbeit allein machen: Jeden Tag muss die fleißige Marie am Brunnen sitzen. Und mit einem Spinnrad Wolle zu einem Faden machen.,negative,no,negative,no,negative,no,positive-negative,yes
2-FrauHolle,S5,Die fleißige Marie wickelt den Faden auf eine Spule. Das ist eine sehr anstrengende Arbeit. Aber die fleißige Marie muss diese anstrengende Arbeit trotzdem jeden Tag machen. So will es die Stiefmutter.,negative,no,negative,no,negative,no,neutral,no
2-FrauHolle,S6,An einem Tag sticht sich die fleißige Marie bei der Arbeit in den Finger. Der Finger blutet. Und auch die Spule mit der Wolle wird dabei blutig.,negative,no,negative,no,neutral,no,negative,no
2-FrauHolle,S7,Marie will die blutige Spule im Brunnen waschen. Aber Marie passt nicht auf. Deshalb fällt die blutige Spule in den Brunnen. Und versinkt.,negative,no,negative,no,negative,no,negative,no
2-FrauHolle,S8,Jetzt weint Marie viele Tränen: Die Stiefmutter wird nämlich sehr böse darüber sein. Und mit Marie schimpfen. Am Abend geht Marie zur Stiefmutter. Und sagt: Liebe Stiefmutter: Die Spule ist mir in den Brunnen gefallen.,negative,no,negative,no,negative,no,negative,no
2-FrauHolle,S9,Da wird die Stiefmutter sehr böse. Und sagt: Du dummes Kind. Du hast die Spule in den Brunnen fallen lassen? Dann geh zurück zum Brunnen. Und hol die Spule wieder heraus.,negative,no,negative,no,negative,no,negative,no
2-FrauHolle,S10,Marie weint. Aber Marie geht zurück zum Brunnen. Marie muss die Spule aus dem Brunnen holen.,negative,no,negative,no,negative,no,neutral,no
2-FrauHolle,S11,Marie denkt: Was soll ich jetzt tun? Marie hat große Angst vor ihrer Stiefmutter. Deshalb springt Marie in den Brunnen. Der Brunnen ist dunkel. Und sehr tief.,negative,no,negative,no,negative,no,negative,no
2-FrauHolle,S12,Aber Marie ertrinkt nicht. Marie fällt immer tiefer in den Brunnen. Dabei dreht sich alles. Und plötzlich ist der Brunnen weg.,neutral,no,neutral,no,neutral,no,negative,no
2-FrauHolle,S13,Marie liegt auf einer Wiese. Die Sonne scheint. Und die Vögel singen.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S14,Marie ist überrascht. Und denkt: Wo bin ich? Dann steht Marie auf. Und geht über die Wiese.,neutral,no,neutral,no,neutral,no,positive,no
2-FrauHolle,S15,Auf der Wiese steht ein alter Backofen. Der Backofen ist aus Mauersteinen. Der Backofen dampft. Im Backofen ist nämlich Brot. Das Brot ist fertig gebacken.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S16,Da ruft das Brot: Zieh mich heraus. Zieh mich heraus. Sonst verbrenne ich.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S17,Marie ist überrascht: Das Brot kann sprechen. Aber Marie geht zu dem Backofen. Und holt das Brot heraus.,positive,no,positive,no,positive,no,neutral,no
2-FrauHolle,S18,Dann geht Marie weiter. Nach einer Weile kommt Marie zu einem Baum. Am Baum sind viele Äpfel. Die Äpfel sind alle rot,neutral,no,positive,no,neutral,no,neutral,no
2-FrauHolle,S19,Da ruft der Baum: Schüttel mich. Schüttel mich. Meine Äpfel sind alle reif.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S20,Marie ist überrascht: Der Baum kann sprechen. Aber Marie geht zu dem Baum. Marie schüttelt den Baum. Und die Äpfel fallen auf den Boden. Marie legt die Äpfel auf einen Haufen.,positive,no,positive,no,positive,no,neutral,no
2-FrauHolle,S21,Dann geht Marie weiter. Nach einer Weile kommt Marie zu einem Haus. Das Haus ist klein.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S22,Und in dem Haus wohnt eine Frau. Die Frau schaut aus dem Fenster. Die Frau ist alt. Und die Frau hat sehr große Zähne.,neutral,no,neutral,no,negative,no,neutral,no
2-FrauHolle,S23,Deshalb hat Marie Angst. Und will weglaufen. Aber die alte Frau mit den großen Zähnen ruft: Hab keine Angst.,negative-neutral,yes,negative-positive,yes,neutral,no,neutral,no
2-FrauHolle,S24,Ich bin Frau Holle. Und ich wohne in diesem Haus. Du kannst bei mir bleiben. Und für mich arbeiten.,positive,no,positive,no,neutral,no,positive,no
2-FrauHolle,S25,Du kannst für mich kochen. Und du kannst mir bei der Arbeit im Haus helfen. Und du kannst mein Bett machen. Ich werde mich gut um dich kümmern.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S26,Marie denkt: Frau Holle ist nett. Ich will bei Frau Holle bleiben. Und ich will für Frau Holle arbeiten. Und so bleibt Marie bei Frau Holle.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S27,Marie kocht. Und Marie hilft Frau Holle bei der Arbeit im Haus. Und Marie macht das Bett von Frau Holle.,positive,no,positive,no,neutral,no,positive,no
2-FrauHolle,S28,Jeden Tag muss Marie die Bettdecke von Frau Holle gut ausschütteln. Dann fliegen nämlich die Bettfedern auf die Erde. Und werden zu Schnee. Das freut die Menschen auf der Erde. Es ist nämlich Winter.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S29,Und so vergehen die Tage: Marie macht jeden Tag das Bett von Frau Holle. Und auf der Erde schneit es. Und die Menschen freuen sich über den Schnee.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S30,Das kann Marie vom Fenster aus sehen. Marie macht ihre Arbeit gut. Und Frau Holle ist sehr zufrieden. Frau Holle kümmert sich gut um Marie.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S31,Und die Wochen vergehen. Aber dann wird Marie traurig. Und denkt: Warum bin ich traurig?,positive-negative,yes,positive-negative,yes,neutral,no,negative,no
2-FrauHolle,S32,Die Arbeit macht mir Spaß. Frau Holle ist sehr nett. Und kümmert sich gut um mich. Marie hat Heimweh. Marie will zurück nach Hause.,positive-negative,yes,positive-negative,yes,neutral-negative,yes,positive-negative,yes
2-FrauHolle,S33,Marie denkt: Zu Hause ist mein Leben nicht so schön. Und trotzdem vermisse ich meine Stiefmutter. Und meine Stiefschwester.,negative,no,negative,no,neutral,no,negative,no
2-FrauHolle,S34,Also geht Marie zu Frau Holle. Und sagt: Liebe Frau Holle: Es geht mir sehr gut bei dir. Aber ich kann nicht länger bei dir bleiben.,positive-negative,yes,positive-negative,yes,neutral,no,negative,no
2-FrauHolle,S35,Ich will nach Hause. Ich vermisse nämlich meine Stiefmutter. Und meine Stiefschwester. Ich muss gehen.,negative,no,negative,no,neutral,no,negative,no
2-FrauHolle,S36,Frau Holle ist sehr traurig. Aber Frau Holle versteht das. Frau Holle nimmt Marie an die Hand.,negative-positive,yes,negative-positive,yes,neutral,no,negative,no
2-FrauHolle,S37,Und Frau Holle geht mit Marie zu einem Tor. Dann sagt Frau Holle zu Marie: Stell dich unter das Tor.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S38,Marie gehorcht. Plötzlich regnet es. Aber der Regen ist kein normaler Regen. Der Regen ist aus Gold. Und das Gold bleibt an Marie kleben.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S39,Frau Holle sagt: Das Gold ist für dich. Du warst sehr fleißig. Und Frau Holle gibt der fleißigen Marie die Spule aus dem Brunnen. Jetzt hat die fleißige Marie ihre Spule wieder. Und auch die Spule ist jetzt aus Gold.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S40,Dann geht Marie durch das Tor. Und plötzlich ist Marie wieder am Brunnen. Jetzt ist Marie zu Hause.,positive,no,positive,no,neutral,no,neutral,no
2-FrauHolle,S41,Auf dem Brunnen sitzt ein Hahn. Der Hahn ruft: So ein Glück. So ein Glück. Unsere Gold-Marie ist zurück.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S42,Marie geht zum Haus von der Stiefmutter. Die Stiefmutter sieht Marie. Und ist überrascht: Marie ist voll mit Gold.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S43,Jetzt ist die Stiefmutter plötzlich sehr nett zu Marie. Und auch die faule Stiefschwester ist plötzlich sehr nett zu Marie.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S44,Marie erzählt von Frau Holle. Da wird die Stiefmutter neidisch.,negative,no,negative,no,negative,no,negative,no
2-FrauHolle,S45,Und denkt: Meine faule Tochter Marie soll auch so viel Glück haben. Und ein Kleid voll mit Gold haben.,negative,no,neutral,no,negative,no,negative,no
2-FrauHolle,S46,Also sagt die Stiefmutter zu ihrer faulen Tochter Marie: Mach es so wie deine fleißige Stiefschwester:,neutral,no,neutral,no,neutral,no,negative,no
2-FrauHolle,S47,Setz dich mit der Spule an den Brunnen. Und stich dir in den Finger. Dein Finger blutet? Dann nimm die Spule. Und lass Blut auf die Spule tropfen. Die Spule ist voll mit Blut? Dann wirf die blutige Spule in den Brunnen.,negative,no,negative,no,neutral,no,negative,no
2-FrauHolle,S48,So macht es die faule Marie: Die faule Marie wirft die blutige Spule in den Brunnen.,negative,no,negative,no,neutral,no,negative,no
2-FrauHolle,S49,Und springt dann selbst in den Brunnen hinein. Die faule Marie fällt immer tiefer in den Brunnen. Dabei dreht sich alles. Und plötzlich ist der Brunnen weg.,neutral,no,neutral,no,neutral,no,negative,no
2-FrauHolle,S50,Die faule Marie liegt auf einer Wiese. Die Sonne scheint. Und die Vögel singen.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S51,Die faule Marie kennt die Wiese. Die faule Marie hat nämlich die Geschichte von ihrer fleißigen Stiefschwester gehört.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S52,Und weiß von dem Brot im Backofen. Und von den Äpfeln am Apfelbaum. Und von Frau Holle.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S53,Die faule Marie sieht sich um. Die faule Marie sieht den Backofen.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S54,Und hört das Brot rufen: Zieh mich heraus. Zieh mich heraus. Sonst verbrenne ich.,neutral,no,neutral,no,neutral,no,negative,no
2-FrauHolle,S55,Aber die faule Marie antwortet: Nein. Ich mache mich nicht schmutzig.,negative,no,negative,no,negative,no,neutral,no
2-FrauHolle,S56,Dann geht die faule Marie weiter. Nach einer Weile kommt die faule Marie zu dem Apfelbaum. Am Baum sind viele Äpfel. Die Äpfel sind alle rot.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S57,Und der Baum ruft: Schüttel mich. Schüttel mich. Meine Äpfel sind alle reif.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S58,Aber die faule Marie antwortet: Nein. Die Äpfel können mir auf den Kopf fallen. Und mich verletzen. Dann geht die faule Marie weiter.,negative,no,negative,no,negative,no,neutral,no
2-FrauHolle,S59,Nach einer Weile kommt die faule Marie zu einem Haus. Es ist das Haus von Frau Holle. Die faule Marie erkennt das Haus von Frau Holle gleich.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S60,Die Frau am Fenster ist nämlich alt. Und die Frau am Fenster hat sehr große Zähne. Das weiß die faule Marie von ihrer fleißigen Stiefschwester.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S61,Die faule Marie sagt: Liebe Frau Holle: Ich will für dich arbeiten. Frau Holle freut sich sehr darüber. Und bittet die faule Marie in ihr Haus.,positive,no,positive,no,neutral,no,positive,no
2-FrauHolle,S62,Am 1. Tag ist die faule Marie noch sehr fleißig: Die faule Marie kocht. Und die faule Marie macht die Arbeit im Haus. Und die faule Marie macht das Bett von Frau Holle.,positive,no,positive,no,neutral,no,positive,no
2-FrauHolle,S63,Und die faule Marie schüttelt die Bettdecke gut aus. Und wieder fallen die Bettfedern auf die Erde. Und werden zu Schnee. Das freut die Menschen auf der Erde. Es ist nämlich Winter.,positive,no,positive,no,positive,no,positive,no
2-FrauHolle,S64,Aber schon am 2. Tag hat die faule Marie keine Lust zu arbeiten: Die faule Marie kocht nicht. Und die faule Marie macht die Arbeit im Haus nicht.,negative,no,negative,no,negative,no,negative,no
2-FrauHolle,S65,Die faule Marie macht nur das Bett von Frau Holle. Und schüttelt die Bettdecke aus. So fallen die Bettfedern auf die Erde. Und werden zu Schnee.,neutral,no,neutral,no,neutral,no,negative,no
2-FrauHolle,S66,Dann legt sich die faule Marie selbst in das Bett. Und schläft ein.,neutral,no,neutral,no,negative,no,neutral,no
2-FrauHolle,S67,Am 3. Tag arbeitet die faule Marie nicht. Und bleibt den ganzen Tag im Bett liegen.,negative,no,negative,no,negative,no,negative,no
2-FrauHolle,S68,Keiner schüttelt die Bettdecke aus. Und deshalb gibt es auf der Erde keinen Schnee. Und die Menschen sind traurig.,negative,no,negative,no,negative,no,negative,no
2-FrauHolle,S69,Das merkt Frau Holle. Frau Holle ärgert sich über die faule Marie. Und sagt: Du kannst zurück nach Hause gehen. Du brauchst nicht mehr für mich arbeiten.,negative,no,negative,no,negative,no,negative,no
2-FrauHolle,S70,Die faule Marie ist zufrieden. Und denkt: Jetzt bekomme ich mein Gold.,positive,no,positive,no,neutral,no,positive,no
2-FrauHolle,S71,Frau Holle nimmt die faule Marie an die Hand. Und Frau Holle geht mit der faulen Marie zu dem Tor. Dann sagt Frau Holle zu der faulen Marie: Stell dich unter das Tor.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S72,Die faule Marie gehorcht. Plötzlich regnet es. Aber der Regen ist nicht aus Gold. Der Regen ist aus Pech. Das Pech ist schwarz. Und klebrig. Das Pech bleibt an der faulen Marie kleben.,negative,no,negative,no,negative,no,negative,no
2-FrauHolle,S73,Und Frau Holle sagt: Du warst faul. Deshalb ist das Pech deine Belohnung. Gold ist nur für fleißige Mädchen.,negative,no,negative,no,negative,no,negative,no
2-FrauHolle,S74,Dann gibt Frau Holle der faulen Marie die Spule aus dem Brunnen. Jetzt hat die faule Marie ihre Spule wieder. Aber auch die Spule ist voll mit Pech. Und schwarz. Und klebrig.,negative,no,negative,no,negative,no,negative,no
2-FrauHolle,S75,Dann geht die faule Marie durch das Tor. Und plötzlich ist die faule Marie wieder am Brunnen. Jetzt ist die faule Marie zu Hause.,neutral,no,neutral,no,neutral,no,neutral,no
2-FrauHolle,S76,Auf dem Brunnen sitzt der Hahn. Und ruft: So ein Glück. So ein Glück. Unsere Pech-Marie ist zurück.,negative,no,negative,no,neutral,no,negative,no
2-FrauHolle,S77,Das Pech klebt an der faulen Marie. Und das Pech geht nie mehr ab. Das war das Märchen von Frau Holle.,negative,no,negative,no,negative,no,negative,no
3-DerWolf,S1,Der Wolf und die 7 Geißlein. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt: Der Wolf und die 7 Geißlein. Das Märchen geht so:,neutral,no  ,neutral,no,neutral,no,neutral,no
3-DerWolf,S2,Eine Geiß hat 7 Geißlein. Eine Geiß ist eine Ziege. Und die Geißlein sind die Kinder von der Ziege. Die Ziegenmutter liebt ihre Ziegenkinder sehr.,positive,no  ,positive,no,positive,no,positive,no
3-DerWolf,S3,Es ist ein schöner Morgen. Und die Ziegenmutter sagt zu ihren Ziegenkindern: Ich gehe in den Wald. Und hole Futter.,positive,no  ,positive,no,positive,no,positive,no
3-DerWolf,S4,Passt gut auf euch auf! Vielleicht kommt der Wolf. Der Wolf ist ein böses Tier. Der Wolf will euch fressen.,negative,no  ,negative,no,negative,no,negative,no
3-DerWolf,S5,Deshalb dürft ihr nicht die Tür aufmachen. Der Wolf ist schlau. Und der Wolf kann sich verkleiden. Aber ihr erkennt den Wolf an seiner Stimme:,negative,no  ,negative,no,negative,no,negative,no
3-DerWolf,S6,Die Stimme vom Wolf ist dunkel. Und böse. Und ihr erkennt den Wolf an seinen Pfoten: Die Pfoten vom Wolf sind schwarz.,negative,no  ,negative,no,negative,no,negative,no
3-DerWolf,S7,So erkennt ihr den Wolf. Ihr dürft dem Wolf nicht die Tür aufmachen.,negative,no  ,negative,no,negative,no,negative,no
3-DerWolf,S8,Die Ziegenkinder antworten: Liebe Mutter. Hab keine Angst. Wir passen gut auf uns auf. Wir machen die Tür nicht auf.,positive,no  ,positive,no,positive,no,positive,no
3-DerWolf,S9,Die Ziegenmutter ist beruhigt. Und die Ziegenmutter geht in den Wald. Jetzt sind die Ziegenkinder alleine im Haus. Die Ziegenkinder spielen.,positive,no  ,positive,no,positive,no,positive,no
3-DerWolf,S10,Plötzlich klopft es an der Tür. Eine Stimme ruft: Liebe Kinder. Macht die Tür auf. Ich habe Geschenke für euch.,neutral,no  ,neutral,no,neutral,no,positive,no
3-DerWolf,S11,Die Stimme ist dunkel. Und böse. Deshalb rufen die Ziegenkinder: Du bist nicht unsere Ziegenmutter. Die Stimme von unserer Ziegenmutter ist hell. Und freundlich. ,negative-positive,yes  ,negative,no,negative,no,negative-positive,yes
3-DerWolf,S12,Aber deine Stimme ist dunkel. Und böse. Du bist der Wolf. Wir machen die Tür nicht auf.,negative,no  ,negative,no,negative,no,negative,no
3-DerWolf,S13,Der Wolf ärgert sich. Und verschwindet. Der Wolf geht in einen Laden. Der Wolf kauft ein großes Stück Kreide.,negative,no  ,negative,no,negative,no,neutral,no
3-DerWolf,S14,Der Wolf isst die Kreide. Der Wolf weiß nämlich: Kreide macht die Stimme hell.,neutral,no  ,neutral,no,neutral,no,neutral,no
3-DerWolf,S15,Dann geht der Wolf wieder zum Haus von den Ziegenkindern. Der Wolf klopft an die Tür. Und ruft: Liebe Kinder. Macht die Tür auf. Ich habe Geschenke für euch.,neutral,no  ,neutral,no,neutral,no,positive,no
3-DerWolf,S16,Die Ziegenkinder denken: Die Stimme ist hell. Und die Stimme ist freundlich. So wie die Stimme von unserer Ziegenmutter.,positive,no  ,positive,no,positive,no,positive,no
3-DerWolf,S17,Aber die Ziegenkinder sind vorsichtig. Die Ziegenkinder gucken aus dem Fenster. Und die Ziegenkinder sehen eine schwarze Pfote.,neutral,no  ,neutral,no,negative,no,negative,no
3-DerWolf,S18,Deshalb rufen die Ziegenkinder: Du bist nicht unsere Ziegenmutter. Unsere Ziegenmutter hat eine weiße Pfote. Deine Pfote ist schwarz. Du bist der Wolf. Wir machen die Tür nicht auf.,negative,no  ,negative,no,negative,no,negative,no
3-DerWolf,S19,Der Wolf ärgert sich. Und verschwindet. Jetzt hat der Wolf eine Idee: Der Wolf geht zum Bäcker.,negative,no  ,neutral,no,negative,no,neutral,no
3-DerWolf,S20,Der Wolf sagt zum Bäcker: Meine Pfote tut weh. Mach mir Teig auf meine Pfote. Das kühlt meine Pfote. Dann tut meine Pfote nicht mehr weh.,negative,no  ,negative,no,neutral,no,neutral,no
3-DerWolf,S21,Der Bäcker hat Angst vor dem Wolf. Deshalb macht der Bäcker Teig auf die Pfote vom Wolf.,negative,no  ,negative,no,negative,no,negative,no
3-DerWolf,S22,Dann geht der Wolf zum Müller. Der Wolf weiß: Der Müller macht aus Körnern weißes Mehl.,neutral,no  ,neutral,no,neutral,no,neutral,no
3-DerWolf,S23,Also sagt der Wolf zum Müller: Mach weißes Mehl auf meine Pfote.,neutral,no  ,neutral,no,neutral,no,neutral,no
3-DerWolf,S24,Der Müller antwortet: Du bist der böse Wolf. Ich helfe dir nicht.,negative,no  ,negative,no,negative,no,negative,no
3-DerWolf,S25,Der Wolf ärgert sich. Und sagt: Mach weißes Mehl auf meine Pfote. Oder ich fresse dich!,negative,no  ,negative,no,negative,no,negative,no
