id,text_original
S56,Die Ziegenmutter sieht das 1. Ziegenkind. Das 1. Ziegenkind bewegt sich. Und das 1. Ziegenkind lebt.
S57,Die Ziegenmutter schneidet weiter. Die Ziegenmutter sieht: Alle Ziegenkinder bewegen sich. Und alle Ziegenkinder leben.
S58,Die Ziegenkinder klettern aus dem Bauch vom Wolf. Die Ziegenmutter umarmt ihre Ziegenkinder.
S59,Die Ziegenkinder freuen sich. Und die Ziegenkinder tanzen.
S60,Aber die Ziegenmutter sagt: Holt schnell große Steine. Die Steine legen wir in den Bauch vom Wolf.
S61,Der Wolf soll denken: Die Steine sind Ziegenkinder. Beeilt euch. Vielleicht wacht der Wolf gleich auf.
S62,Die Ziegenkinder holen große Steine. Und die Ziegenkinder legen die Steine in den Bauch vom Wolf.
S63,Die Ziegenmutter nimmt den Faden. Und die Ziegenmutter nimmt die Nadel. Und die Ziegenmutter näht den Bauch vom Wolf zu.
S64,Der Wolf merkt nichts. Der Wolf schläft weiter.
S65,Die Ziegenmutter sagt zu ihren Ziegenkindern: Jetzt gehen wir schnell ins Haus. Und wir sehen dem Wolf vom Haus aus zu.
S66,Nach einer Weile wacht der Wolf auf. Der Wolf hat Durst. Die Steine im Bauch haben den Wolf durstig gemacht. Der Wolf geht zum Brunnen.
S67,Die Steine bewegen sich im Bauch vom Wolf. Der Wolf denkt: Mein Bauch ist voll mit Ziegenkindern. Die Ziegenkinder sind schwer. So wie Steine.
S68,Der Wolf will aus dem Brunnen trinken. Deshalb lehnt sich der Wolf über den Rand vom Brunnen. Aber die Steine im Bauch vom Wolf sind schwer.
S69,Die Steine ziehen den Wolf in den Brunnen. Der Wolf verliert das Gleichgewicht. Der Wolf kann sich nicht festhalten. Der Wolf fällt in den Brunnen. Und ertrinkt.
S70,Die Ziegenkinder sehen das. Und die Ziegenkinder sind sehr froh: Jetzt kann ihnen der böse Wolf nichts mehr tun.
S71,Die Ziegenkinder laufen zum Brunnen. Und die Ziegenmutter läuft mit.
S72,Die Ziegenmutter und die Ziegenkinder tanzen um den Brunnen. Und rufen: Der Wolf ist tot! Der Wolf ist tot!
S73,Das war das Märchen vom Wolf und den 7 Geißlein.
