"Text","Sentiments","Multi"
"Die Königin ist wütend. Die Königin weiß jetzt: Der Jäger hat gelogen.","negative","no"
"Der Jäger hat Schneewittchen nicht getötet. Deshalb will die Königin Schneewittchen jetzt selber töten.","negative","no"
"Die Königin verkleidet sich. Das heißt: Die Königin zieht alte Sachen an. Und die Königin malt ihr Gesicht an.","neutral","no"
"Jetzt sieht die Königin aus wie eine alte Marktfrau. So kann niemand die Königin erkennen.","neutral","no"
"Die Königin geht in den Wald. Die Königin geht zum Haus von den 7 Zwergen. Die Königin klopft an die Tür.","neutral","no"
"Und ruft: Liebes Mädchen! Ich verkaufe schöne Dinge!","neutral","no"
"Schneewittchen schaut aus dem Fenster. Aber Schneewittchen erkennt die böse Königin nicht.","neutral","no"
"Schneewittchen sagt: Was verkaufst du?","neutral","no"
"Die Königin antwortet: Ich verkaufe Gürtel. Die Gürtel sind sehr schön. Du kannst einen Gürtel anprobieren!","neutral","no"
"Schneewittchen findet die verkleidete Königin nett. Deshalb öffnet Schneewittchen die Tür.","positive-negative","yes"
"Die verkleidete Königin zieht Schneewittchen den Gürtel an. Und macht den Gürtel fester.","negative","no"
"Schneewittchen bekommt keine Luft mehr. Schneewittchen fällt zu Boden.","negative","no"
"Die böse Königin denkt: Endlich ist Schneewittchen tot! Jetzt bin ich wieder die Schönste im Land.","negative","no"
"Am Abend kommen die Zwerge nach Hause. Die Zwerge finden Schneewittchen. Und denken: Schneewittchen ist tot!","negative","no"
"Dann sehen die Zwerge den Gürtel: Der Gürtel ist viel zu eng.","neutral","no"
"Die Zwerge schneiden den Gürtel auf. Jetzt kann Schneewittchen wieder atmen. Schneewittchen öffnet die Augen.","negative-positive","yes"
"Die Zwerge fragen: Was ist passiert? Und Schneewittchen erzählt von der Marktfrau.","neutral","no"
"Die Zwerge sagen: Das war die böse Königin. Die Königin hat sich bestimmt verkleidet.","negative","no"
"Liebes Schneewittchen: Du darfst niemandem die Tür öffnen!","neutral","no"
"Text","Sentiments","Multi"
"Die böse Königin geht zurück zum Schloss. Und fragt ihren Spiegel: Mein lieber Spiegel an der Wand! Wer ist die Schönste im ganzen Land?","neutral","no"
"Und der Spiegel antwortet: Frau Königin: Du bist die Schönste im Land.","positive","no"
"Aber Schneewittchen wohnt hinter den Bergen. Bei den 7 Zwergen. Und Schneewittchen ist noch viel schöner als du.","negative","no"
"Die Königin ist wütend. Jetzt weiß die Königin nämlich: Schneewittchen lebt immer noch.","negative","no"
"Aber Schneewittchen soll sterben. Die Königin will nämlich die Schönste sein.","negative","no"
"Deshalb macht die Königin einen neuen Plan: Die Königin nimmt einen Kamm. Die Königin legt den Kamm in einen Topf mit Gift. So wird der Kamm giftig.","negative","no"
"Dann verkleidet die Königin sich wieder: Die Königin zieht andere Sachen an. Und die Königin malt ihr Gesicht an.","neutral","no"
"So geht die Königin in den Wald. Die Königin geht zum Haus von den Zwergen. Die Königin klopft an die Tür.","neutral","no"
"Und ruft: Liebes Mädchen! Ich verkaufe schöne Dinge.","neutral","no"
"Schneewittchen schaut aus dem Fenster. Schneewittchen erkennt die Königin nicht.","neutral","no"
"Aber Schneewittchen weiß: Die Zwerge sind nicht zu Hause. Ich darf niemandem die Tür öffnen.","neutral","no"
"Schneewittchen sagt zu der verkleideten Königin: Geh weiter. Ich darf niemanden ins Haus lassen.","neutral","no"
"Die verkleidete Königin antwortet: Du musst mich nicht ins Haus lassen. Ich verkaufe die Sachen am Fenster.","neutral","no"
"Die Königin zeigt Schneewittchen einen Kamm. Der Kamm ist giftig. Aber das weiß Schneewittchen nicht.","negative","no"
"Schneewittchen findet den Kamm sehr schön. Schneewittchen kauft den Kamm.","positive","no"
"Und die verkleidete Königin kämmt Schneewittchen mit dem giftigen Kamm die Haare.","negative","no"
"Das Gift wirkt sofort: Schneewittchen fällt zu Boden.","negative","no"
"Die Königin denkt: Jetzt ist Schneewittchen endlich tot!","negative","no"
"Am Abend kommen die 7 Zwerge nach Hause. Die Zwerge finden Schneewittchen.","negative","no"
"Die Zwerge denken: Die böse Königin war hier. Aber vielleicht können wir Schneewittchen helfen.","negative-positive","yes"
"Die Zwerge suchen alles ab. Die Zwerge finden den Kamm. Die Zwerge ziehen den Kamm aus den Haaren von Schneewittchen.","positive","no"
"Schneewittchen öffnet die Augen. Und Schneewittchen erzählt von der verkleideten Frau.","positive","no"
"Die Zwerge sagen: Das war die böse Königin. Du hast die böse Königin wieder nicht erkannt!","neutral","no"
"Du musst besser aufpassen! Und du darfst niemandem die Tür öffnen!","neutral","no"
"Die böse Königin geht zurück zum Schloss. Und fragt ihren Spiegel: Mein lieber Spiegel an der Wand! Wer ist die Schönste im ganzen Land?","neutral","no"
"Und der Spiegel antwortet: Frau Königin: Du bist die Schönste im Land.","positive","no"
"Aber Schneewittchen wohnt hinter den Bergen. Bei den 7 Zwergen. Und Schneewittchen ist noch viel schöner als du.","negative","no"
"Jetzt wird die Königin wütend. Und schreit: Schneewittchen muss sterben!","negative","no"
"Die Königin nimmt einen Apfel. Der Apfel sieht sehr lecker aus. Aber der Apfel ist giftig. Die Königin hat die eine Hälfte vom Apfel vergiftet.","negative","no"
"Die Königin verkleidet sich wieder. Die Königin zieht andere Sachen an. Und die Königin malt ihr Gesicht an.","neutral","no"
"So geht die Königin in den Wald. Die Königin geht bis zum Haus von den 7 Zwergen. Die Königin klopft an die Tür.","neutral","no"
"Aber Schneewittchen sagt: Die Zwerge sind nicht zu Hause. Ich darf die Tür nicht öffnen!","neutral","no"
"Die Königin antwortet: Das ist schade. Ich habe nämlich sehr schöne Äpfel. Ich möchte dir einen Apfel schenken.","neutral","no"
"Schneewittchen sagt: Ich darf den Apfel nicht nehmen. Die Königin antwortet: Du musst keine Angst haben.","neutral","no"
"Der Apfel hat 2 Hälften: Eine Hälfte ist rot. Die andere Hälfte ist weiß","neutral","no"
"Ich schneide den Apfel in der Mitte durch. Du kannst die rote Hälfte essen. Und ich esse die weiße Hälfte.","neutral","no"
"So weißt du: Der Apfel ist nicht giftig. Ich esse den Apfel nämlich auch.","negative","no"
"Die Königin beißt in die weiße Hälfte vom Apfel. Die weiße Hälfte ist nämlich nicht giftig.","neutral","no"
"Aber Schneewittchen beißt in die rote Hälfte vom Apfel. Und nur die rote Hälfte ist giftig.","negative","no"
"Das Gift wirkt sofort: Schneewittchen fällt zu Boden.","negative","no"
"Die Königin lacht laut. Und sagt: Die Zwerge können dir nicht helfen. Jetzt bist du für immer tot.","negative","no"
"Die Königin geht zurück zum Schloss. Und fragt ihren Spiegel: Mein lieber Spiegel an der Wand! Wer ist die Schönste im ganzen Land?","neutral","no"
"Der Spiegel antwortet: Frau Königin: Du bist die Schönste im ganzen Land.","positive","no"
"Jetzt ist die Königin die Schönste von allen. Deshalb ist die Königin sehr glücklich.","positive","no"
"Am Abend kommen die Zwerge nach Hause. Die Zwerge finden Schneewittchen auf dem Boden. Schneewittchen atmet nicht mehr.","negative","no"
"Die Zwerge denken: Die Königin hat Schneewittchen vergiftet! Wir müssen Schneewittchen helfen!","negative","no"
"Die Zwerge suchen das Gift. Aber die Zwerge können das Gift nicht finden. Deshalb sind die Zwerge sehr traurig.","negative","no"
"Jetzt wissen die Zwerge: Schneewittchen ist tot!","negative","no"
"Die Zwerge wollen Schneewittchen beerdigen. Aber die Zwerge denken: Schneewittchen ist so schön.","negative-positive","yes"
"Wir können Schneewittchen nicht unter die Erde legen. Deshalb bekommt Schneewittchen einen Sarg aus Glas. So können wir Schneewittchen immer sehen.","positive","no"
"Die Zwerge legen Schneewittchen in einen Sarg aus Glas. Und bringen den Sarg mit Schneewittchen in den Wald.","negative","no"
"Die Zwerge besuchen Schneewittchen jeden Tag.","positive","no"
"Die Tage vergehen. Ein Prinz reitet durch den Wald. Der Prinz sieht den Sarg aus Glas.","neutral","no"
"Und der Prinz sieht Schneewittchen in dem Sarg liegen. Der Prinz verliebt sich sofort in das schöne Schneewittchen.","positive","no"
"Deshalb reitet der Prinz zu den Zwergen. Und sagt: Bitte gebt mir Schneewittchen. Ich nehme Schneewittchen mit auf mein Schloss.","positive","no"
"Die Zwerge antworten: Wir mögen Schneewittchen so sehr. Wir können dir Schneewittchen nicht geben.","neutral","no"
"Der Prinz sagt: Bitte gebt mir Schneewittchen. Oder ich werde für immer traurig sein.","negative","no"
"Das wollen die Zwerge nicht. Deshalb entscheiden die Zwerge: Der Prinz darf Schneewittchen mitnehmen.","positive","no"
"Der Prinz möchte Schneewittchen in sein Schloss bringen. Deshalb ruft der Prinz seine Diener.","neutral","no"
"Die Diener helfen dem Prinzen den Sarg mit Schneewittchen ins Schloss zu tragen.","neutral","no"
"Auf dem Weg stolpert ein Diener über einen Stein. Und lässt den Sarg fallen. Der Sarg fällt auf die Erde.","negative","no"
"Und Schneewittchen bekommt einen Ruck. Plötzlich fällt ein Stück Apfel aus dem Mund von Schneewittchen.","positive","no"
"Schneewittchen hat das Apfelstück nicht geschluckt. Und der giftige Apfel hat Schneewittchen nicht getötet.","positive","no"
"Schneewittchen öffnet die Augen. Und fragt: Wo bin ich?","positive","no"
"Der Prinz antwortet: Du bist bei mir. Ich bin ein Prinz.","positive","no"
"Und ich nehme dich mit auf mein Schloss. Du sollst meine Prinzessin sein. Willst du mich heiraten?","positive","no"
"Schneewittchen ist glücklich. Und Schneewittchen will den Prinzen heiraten. Es gibt ein großes Fest.","positive","no"
"Zu dem Fest sind viele Gäste eingeladen. Und auch die böse Königin ist eingeladen. Die böse Königin kennt den Prinzen nämlich nicht.","neutral","no"
"Die Königin denkt: Schneewittchen ist tot. Und ich bin die Schönste im ganzen Land.","positive","no"
"Auf dem Fest wird keine Frau schöner sein als ich.","positive","no"
"Und so fragt die Königin ihren Spiegel: Mein lieber Spiegel an der Wand! Wer ist die Schönste im ganzen Land?","neutral","no"
"Und der Spiegel antwortet: Frau Königin: Du bist die schönste im Land. Aber die Prinzessin ist noch viel schöner als du.","negative","no"
"Die Königin ist wütend. Und die Königin will diese Prinzessin sehen. Deshalb geht die Königin zu dem Fest.","negative","no"
"Auf dem Fest sieht die böse Königin: Schneewittchen ist die schöne Prinzessin.","positive","no"
"Der Spiegel hat die Wahrheit gesagt. Schneewittchen lebt. Und Schneewittchen ist wunderschön. Die Königin hat verloren.","positive-negative","yes"
"Schneewittchen sieht die böse Königin. Und denkt: Die böse Königin wollte mich töten. Deshalb werde ich die böse Königin bestrafen.","negative","no"
"Schneewittchen gibt der bösen Königin schwere Schuhe. Die böse Königin muss mit den schweren Schuhen tanzen.","negative","no"
"Die Königin hat große Schmerzen. Die Schuhe sind nämlich sehr schwer","negative","no"
"Aber die böse Königin muss immer weiter tanzen. Dann fällt die Königin zu Boden. Die böse Königin ist tot.","negative","no"
"Jetzt muss Schneewittchen nie wieder Angst vor der bösen Königin haben.","positive","no"
"Schneewittchen ist glücklich. Und der Prinz ist glücklich. Und auch die Zwerge sind glücklich.","positive","no"
"Alle leben noch viele Jahre lang. Das war das Märchen von Schneewittchen.","positive","no"
